restaurant_id,restaurant,market_segment,area,rating,latitude,longitude,cuisine
6438,Jai Sri Prathyangara Devi Vadai Kadai,Fast Food,T. Nagar,3.6,13.0418,80.2341,Street Food
6439,Hotel Sri Jaya,Hotel,Egmore,3.1,13.0732,80.2609,South Indian
6440,Juicy & Crunchy,Fast Food,Porur,3.6,13.0382,80.1565,Fast Food
6440,Juicy & Crunchy,Fast Food,Porur,3.6,13.0382,80.1565,Desserts
6441,J K Home Made Foods,Cloud Kitchen,Madhavaram,3.6,13.1488,80.2306,South Indian
6442,Lloyds Chat House,Fast Food,Gopalapuram,3.6,13.0489,80.2586,Fast Food
6442,Lloyds Chat House,Fast Food,Gopalapuram,3.6,13.0489,80.2586,Street Food
6443,2 Minutes Foods,Fast Food,Ambattur,3.6,13.1186,80.1574,Salad
6443,2 Minutes Foods,Fast Food,Ambattur,3.6,13.1186,80.1574,Momos
6443,2 Minutes Foods,Fast Food,Ambattur,3.6,13.1186,80.1574,Fast Food
6444,Snack Eat,Cloud Kitchen,Karapakkam,3.6,12.9191,80.23,Fast Food
6445,Sagar Chaat House,Fast Food,Vepery,3.6,13.0853,80.2607,Street Food
6445,Sagar Chaat House,Fast Food,Vepery,3.6,13.0853,80.2607,Sandwich
6446,Lakshmi Cafe,Restaurant,Velachery,3.6,12.9755,80.2207,South Indian
6447,Kwiqe Bite,Fast Food,Ambattur,3.6,13.1186,80.1574,Street Food
6447,Kwiqe Bite,Fast Food,Ambattur,3.6,13.1186,80.1574,Fast Food
6447,Kwiqe Bite,Fast Food,Ambattur,3.6,13.1186,80.1574,Beverages
6448,New Ananda Bhavan,Restaurant,Porur,3.6,13.0382,80.1565,South Indian
6448,New Ananda Bhavan,Restaurant,Porur,3.6,13.0382,80.1565,North Indian
6449,Alagar Tiffin Center,Restaurant,Madipakkam,3.8,12.9647,80.1961,South Indian
6450,Hotel BSK,Hotel,Karapakkam,3.6,12.9191,80.23,South Indian
6451,Back Space,Fast Food,Perungudi,3.6,12.9654,80.2461,Fast Food
6451,Back Space,Fast Food,Perungudi,3.6,12.9654,80.2461,Rolls
6451,Back Space,Fast Food,Perungudi,3.6,12.9654,80.2461,Mexican
6451,Back Space,Fast Food,Perungudi,3.6,12.9654,80.2461,Sandwich
6451,Back Space,Fast Food,Perungudi,3.6,12.9654,80.2461,Ice Cream
6451,Back Space,Fast Food,Perungudi,3.6,12.9654,80.2461,Beverages
6452,Rifha Dine,Restaurant,Kolathur,3.6,13.124,80.2121,Chinese
6452,Rifha Dine,Restaurant,Kolathur,3.6,13.124,80.2121,Chettinad
6452,Rifha Dine,Restaurant,Kolathur,3.6,13.124,80.2121,Arabian
6452,Rifha Dine,Restaurant,Kolathur,3.6,13.124,80.2121,South Indian
6452,Rifha Dine,Restaurant,Kolathur,3.6,13.124,80.2121,North Indian
6453,Taste Express By Mexicana,Cloud Kitchen,Navallur,3.6,12.8459,80.2265,Mexican
6453,Taste Express By Mexicana,Cloud Kitchen,Navallur,3.6,12.8459,80.2265,Italian
6454,Bake Land Bakes,Fast Food,Nungambakkam,3.6,13.0569,80.2425,Beverages
6454,Bake Land Bakes,Fast Food,Nungambakkam,3.6,13.0569,80.2425,Fast Food
6455,Moti Roti,Fast Food,Anna Nagar West,3.6,13.0862,80.2018,North Indian
6455,Moti Roti,Fast Food,Anna Nagar West,3.6,13.0862,80.2018,Rolls
6456,Zam Zam Biriyani,Restaurant,Madipakkam,3.6,12.9647,80.1961,Biryani
6457,Lotus Chettinadu,Restaurant,Maduravoyal,3.6,13.0656,80.1608,North Indian
6457,Lotus Chettinadu,Restaurant,Maduravoyal,3.6,13.0656,80.1608,Chinese
6457,Lotus Chettinadu,Restaurant,Maduravoyal,3.6,13.0656,80.1608,Biryani
6457,Lotus Chettinadu,Restaurant,Maduravoyal,3.6,13.0656,80.1608,Chettinad
6457,Lotus Chettinadu,Restaurant,Maduravoyal,3.6,13.0656,80.1608,South Indian
6458,Classic Juice & Tea,Cafe,Medavakkam,3.6,12.92,80.192,Beverages
6458,Classic Juice & Tea,Cafe,Medavakkam,3.6,12.92,80.192,Juices
6459,Mhaian Kulfi,Fast Food,Velachery,3.6,12.9755,80.2207,Desserts
6459,Mhaian Kulfi,Fast Food,Velachery,3.6,12.9755,80.2207,Fast Food
6460,Fluffy Feast,Fast Food,Velachery,3.6,12.9755,80.2207,Desserts
6460,Fluffy Feast,Fast Food,Velachery,3.6,12.9755,80.2207,Fast Food
6460,Fluffy Feast,Fast Food,Velachery,3.6,12.9755,80.2207,Beverages
6461,Momos Factory,Restaurant,Navallur,3.6,12.8459,80.2265,North Indian
6461,Momos Factory,Restaurant,Navallur,3.6,12.8459,80.2265,Chinese
6462,Creamy Dreamz,Restaurant,Ramapuram,3.6,13.0317,80.1817,North Indian
6462,Creamy Dreamz,Restaurant,Ramapuram,3.6,13.0317,80.1817,Ice Cream
6462,Creamy Dreamz,Restaurant,Ramapuram,3.6,13.0317,80.1817,Desserts
6462,Creamy Dreamz,Restaurant,Ramapuram,3.6,13.0317,80.1817,Beverages
6463,THAMIZAN BIRYANI,Restaurant,Kanchipuram District,3.6,12.8372,79.7042,Biryani
6463,THAMIZAN BIRYANI,Restaurant,Kanchipuram District,3.6,12.8372,79.7042,Chinese
6464,Fries And Freeze,Cafe,Kanchipuram District,4.0,12.8372,79.7042,Beverages
6465,Madurai Mano,Restaurant,Ambattur,3.6,13.1186,80.1574,Chettinad
6465,Madurai Mano,Restaurant,Ambattur,3.6,13.1186,80.1574,South Indian
6465,Madurai Mano,Restaurant,Ambattur,3.6,13.1186,80.1574,Continental
6466,Al Kebabi,Restaurant,Nanganallur,3.6,12.9807,80.1882,North Indian
6467,Cake & Garnish Cake Shop,Bakery & Sweet Shop,Selaiyur,3.6,12.9068,80.1425,Bakery
6467,Cake & Garnish Cake Shop,Bakery & Sweet Shop,Selaiyur,3.6,12.9068,80.1425,Desserts
6468,North Indian Food Express,Restaurant,Old Mahabalipuram Road (OMR),3.6,12.914,80.2294,North Indian
6468,North Indian Food Express,Restaurant,Old Mahabalipuram Road (OMR),3.6,12.914,80.2294,Chinese
6469,OMR Mess,Restaurant,Thuraipakkam,3.6,12.9416,80.2362,Chettinad
6469,OMR Mess,Restaurant,Thuraipakkam,3.6,12.9416,80.2362,Biryani
6469,OMR Mess,Restaurant,Thuraipakkam,3.6,12.9416,80.2362,North Indian
6469,OMR Mess,Restaurant,Thuraipakkam,3.6,12.9416,80.2362,South Indian
6470,Real Fresh,Fast Food,Red Hills,3.1,13.1865,80.1999,Beverages
6470,Real Fresh,Fast Food,Red Hills,3.1,13.1865,80.1999,Fast Food
6470,Real Fresh,Fast Food,Red Hills,3.1,13.1865,80.1999,Street Food
6471,SubC,Restaurant,Velachery,3.6,12.9755,80.2207,American
6471,SubC,Restaurant,Velachery,3.6,12.9755,80.2207,Salad
6472,Cake Paradice,Cloud Kitchen,Madipakkam,3.6,12.9647,80.1961,Bakery
6472,Cake Paradice,Cloud Kitchen,Madipakkam,3.6,12.9647,80.1961,Desserts
6473,Chengai Dhaba,Restaurant,Chengalpattu,3.6,12.6819,79.9888,North Indian
6473,Chengai Dhaba,Restaurant,Chengalpattu,3.6,12.6819,79.9888,Chinese
6473,Chengai Dhaba,Restaurant,Chengalpattu,3.6,12.6819,79.9888,Mughlai
6474,Tanjore Cafe,Cloud Kitchen,T. Nagar,3.6,13.0418,80.2341,South Indian
6475,Crispy Fried Chicken,Fast Food,Kelambakkam,4.3,12.7897,80.2216,Fast Food
6475,Crispy Fried Chicken,Fast Food,Kelambakkam,4.3,12.7897,80.2216,Burger
6475,Crispy Fried Chicken,Fast Food,Kelambakkam,4.3,12.7897,80.2216,Sandwich
6475,Crispy Fried Chicken,Fast Food,Kelambakkam,4.3,12.7897,80.2216,Beverages
6476,Super Duper,Cloud Kitchen,Tambaram,3.6,12.9249,80.1,Biryani
6477,Sangeetha Tiffin Center,Restaurant,Besant Nagar,3.4,13.0003,80.2667,Biryani
6478,Creamy Way,Restaurant,Porur,3.4,13.0382,80.1565,Ice Cream
6478,Creamy Way,Restaurant,Porur,3.4,13.0382,80.1565,Beverages
6478,Creamy Way,Restaurant,Porur,3.4,13.0382,80.1565,Fast Food
6479,Creamy Way,Restaurant,Anna Nagar East,3.6,13.092,80.2236,Bakery
6479,Creamy Way,Restaurant,Anna Nagar East,3.6,13.092,80.2236,Ice Cream
6479,Creamy Way,Restaurant,Anna Nagar East,3.6,13.092,80.2236,Burger
6479,Creamy Way,Restaurant,Anna Nagar East,3.6,13.092,80.2236,Fast Food
6480,Sri Sindhu Bhavan,Restaurant,Perambur,2.7,13.121,80.2326,South Indian
6480,Sri Sindhu Bhavan,Restaurant,Perambur,2.7,13.121,80.2326,Chinese
6480,Sri Sindhu Bhavan,Restaurant,Perambur,2.7,13.121,80.2326,Fast Food
6480,Sri Sindhu Bhavan,Restaurant,Perambur,2.7,13.121,80.2326,North Indian
6480,Sri Sindhu Bhavan,Restaurant,Perambur,2.7,13.121,80.2326,Ice Cream
6480,Sri Sindhu Bhavan,Restaurant,Perambur,2.7,13.121,80.2326,Juices
6480,Sri Sindhu Bhavan,Restaurant,Perambur,2.7,13.121,80.2326,Beverages
6481,French Cakes,Bakery & Sweet Shop,Velachery,3.3,12.9755,80.2207,Bakery
