restaurant_id,restaurant,market_segment,area,rating,latitude,longitude,dish
8355,Udipi Ganga Hotel,Hotel,T. Nagar,3.6,13.0418,80.2341,Rasam Rice
8355,Udipi Ganga Hotel,Hotel,T. Nagar,3.6,13.0418,80.2341,Rava Idli
8355,Udipi Ganga Hotel,Hotel,T. Nagar,3.6,13.0418,80.2341,Masala Dosa
8355,Udipi Ganga Hotel,Hotel,T. Nagar,3.6,13.0418,80.2341,Idli Sambar
8355,Udipi Ganga Hotel,Hotel,T. Nagar,3.6,13.0418,80.2341,Ghee Podi Dosa
8356,-3 Degree Cafe,Fast Food,Perambur,3.6,13.121,80.2326,Buttermilk
8356,-3 Degree Cafe,Fast Food,Perambur,3.6,13.121,80.2326,Burger
8356,-3 Degree Cafe,Fast Food,Perambur,3.6,13.121,80.2326,Onion Rings
8356,-3 Degree Cafe,Fast Food,Perambur,3.6,13.121,80.2326,Fresh Lime Soda
8356,-3 Degree Cafe,Fast Food,Perambur,3.6,13.121,80.2326,Sandwich
8356,-3 Degree Cafe,Fast Food,Perambur,3.6,13.121,80.2326,Mango Lassi
8356,-3 Degree Cafe,Fast Food,Perambur,3.6,13.121,80.2326,Milkshake
8357,Arogya Vilas,Restaurant,Kodambakkam,4.0,13.0521,80.2255,Pongal
8357,Arogya Vilas,Restaurant,Kodambakkam,4.0,13.0521,80.2255,Idli Sambar
8357,Arogya Vilas,Restaurant,Kodambakkam,4.0,13.0521,80.2255,Curd Rice
8357,Arogya Vilas,Restaurant,Kodambakkam,4.0,13.0521,80.2255,Filter Coffee
8357,Arogya Vilas,Restaurant,Kodambakkam,4.0,13.0521,80.2255,Masala Dosa
8357,Arogya Vilas,Restaurant,Kodambakkam,4.0,13.0521,80.2255,Medu Vada
8357,Arogya Vilas,Restaurant,Kodambakkam,4.0,13.0521,80.2255,Rasam Rice
8358,Sky Foods,Fast Food,GST Road,3.6,12.9975,80.1908,Milkshake
8358,Sky Foods,Fast Food,GST Road,3.6,12.9975,80.1908,Nuggets
8358,Sky Foods,Fast Food,GST Road,3.6,12.9975,80.1908,Hot Dog
8358,Sky Foods,Fast Food,GST Road,3.6,12.9975,80.1908,Kibbeh
8358,Sky Foods,Fast Food,GST Road,3.6,12.9975,80.1908,Baba Ganoush
