outlets,avg_rating,median_rating,latitude,longitude,segment_diversity
2,3.6500000000000004,3.6500000000000004,13.1227,79.9118,0.33333333333333337
2,3.95,3.95,13.03,80.2421,0.33333333333333337
1,4.3,4.3,12.9755,80.2207,-0.0
1,2.5,2.5,13.0732,80.2609,-0.0
1,2.5,2.5,13.0724,80.2102,-0.0
1,4.2,4.2,12.86,80.247,-0.0
1,3.1,3.1,12.983,80.2594,-0.0
1,2.6,2.6,12.86,80.247,-0.0
1,2.9,2.9,12.8372,79.7042,-0.0
1,3.3,3.3,12.914,80.2294,-0.0
1,4.1,4.1,12.914,80.2294,-0.0
1,4.2,4.2,13.0418,80.2341,-0.0
1,3.5,3.5,12.9675,80.1491,-0.0
1,2.7,2.7,13.05,80.2121,-0.0
1,3.8,3.8,13.0489,80.2586,-0.0
1,3.6,3.6,13.0418,80.2341,-0.0
1,3.1,3.1,13.0724,80.2102,-0.0
1,3.6,3.6,13.0418,80.2341,-0.0
1,3.2,3.2,12.8459,80.2265,-0.0
1,2.7,2.7,13.0853,80.2607,-0.0
1,3.6,3.6,12.8372,79.7042,-0.0
1,3.0,3.0,13.0828,80.2417,-0.0
1,3.7,3.7,13.054,80.2641,-0.0
1,3.0,3.0,13.1186,80.1574,-0.0
1,4.2,4.2,12.914,80.2294,-0.0
1,4.1,4.1,12.6208,80.1945,-0.0
1,3.6,3.6,13.0521,80.2255,-0.0
1,4.0,4.0,12.914,80.2294,-0.0
1,3.8,3.8,13.0732,80.2609,-0.0
1,3.0,3.0,13.0012,80.2565,-0.0
1,3.0,3.0,12.914,80.2294,-0.0
1,3.2,3.2,13.0569,80.2425,-0.0
1,3.6,3.6,12.6819,79.9888,-0.0
1,2.2,2.2,13.0828,80.2417,-0.0
1,3.8,3.8,12.914,80.2294,-0.0
1,3.7,3.7,13.0368,80.2676,-0.0
1,4.0,4.0,12.6208,80.1945,-0.0
